Time(s),CELL VOLTAGE 1 (100 uV),CELL VOLTAGE 2 (100 uV),CELL VOLTAGE 3 (100 uV),CELL VOLTAGE 4 (100 uV),CELL VOLTAGE 5 (100 uV),CELL VOLTAGE 6 (100 uV),CELL VOLTAGE 7 (100 uV),CELL VOLTAGE 8 (100 uV),CELL VOLTAGE 9 (100 uV),CELL VOLTAGE 10 (100 uV),CELL VOLTAGE 11 (100 uV),CELL VOLTAGE 12 (100 uV),Temperature 1(C),Temperature 2(C),Temperature 3(C)
4230.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4270.409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4310.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4350.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4390.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4430.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4470.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4510.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4550.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4590.629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4630.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4670.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4710.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4750.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4790.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4830.030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4869.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4910.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4950.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4989.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5030.381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5070.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5109.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5149.830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5189.827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5229.819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5269.803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5310.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5349.769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5390.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5429.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5469.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5510.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5549.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5589.607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5629.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5669.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5709.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5750.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5789.493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5829.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5869.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5909.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5949.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5989.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6029.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6069.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6109.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6149.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6189.748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6229.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6269.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6309.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6349.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6389.683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6429.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6469.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6509.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6549.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6589.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6629.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6669.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6709.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6748.951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6788.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6828.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6868.913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6908.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6948.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6989.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7028.807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7069.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7109.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7149.237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7188.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7228.732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7268.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7308.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7348.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7388.653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7428.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7468.593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7509.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7548.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7588.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7628.496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7668.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7708.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7748.421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7788.897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7828.390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7868.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7908.393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7948.826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7988.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8028.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8068.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8108.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8148.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8188.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8228.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8268.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8308.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
