Time(s),Voltage(V),Current(A),TEMP (C),Battery_%
140.095,14432,-7971,26,95
140.555,14428,-7953,26,95
141.027,14432,-7993,26,95
141.561,14428,-7956,26,95
142.041,14425,-8015,26,95
142.535,14432,-7950,26,95
143.053,14428,-7950,26,95
143.562,14432,-7965,26,95
144.068,14428,-7946,26,95
144.537,14436,-7968,26,95
145.074,14428,-7971,26,95
145.589,14432,-7978,26,95
146.063,14425,-7946,26,95
146.558,14428,-7953,26,95
147.028,14432,-8015,26,95
147.530,14425,-7940,26,95
148.054,14432,-7953,26,95
148.581,14428,-7959,26,95
149.028,14428,-7934,26,95
149.530,14428,-7937,26,95
150.030,14428,-7946,26,95
150.614,14425,-7990,26,95
151.076,14428,-7909,26,95
151.553,14421,-7953,26,95
152.105,14428,-7946,26,95
152.607,14432,-7965,26,95
153.051,14428,-7965,26,95
153.513,14428,-7968,26,95
154.034,14425,-7965,26,95
154.562,14428,-7993,26,95
155.030,14421,-7931,26,95
155.541,14425,-7956,26,95
156.159,14425,-7990,26,95
156.576,14421,-7968,26,95
157.028,14428,-7940,26,95
157.553,14425,-7984,26,95
158.041,14425,-7990,26,95
158.549,14428,-7987,26,95
159.018,14421,-7978,26,95
159.582,14425,-7950,26,95
160.088,14418,-7965,26,95
160.580,14425,-7956,26,95
161.021,14425,-7965,26,95
161.550,14421,-7950,26,95
162.068,14421,-7990,26,95
162.572,14418,-7953,26,95
163.036,14421,-7978,26,95
163.530,14418,-7965,26,95
164.075,14421,-7965,26,95
164.544,14428,-7965,26,95
165.054,14421,-7928,26,95
165.576,14418,-7946,26,95
166.016,14421,-7975,26,95
166.537,14421,-7993,26,95
167.081,14425,-7965,26,95
167.531,14425,-7965,26,95
168.088,14418,-7956,26,95
168.560,14425,-8006,26,95
169.067,14418,-7956,26,95
169.538,14425,-7996,26,95
170.059,14418,-7959,26,95
170.538,14418,-7984,26,95
171.061,14421,-7978,26,95
171.546,14425,-7968,26,95
172.065,14418,-7968,26,95
172.547,14418,-7940,26,95
173.084,14421,-7996,26,95
173.557,14421,-7946,26,95
174.072,14418,-8006,26,95
174.521,14418,-8006,26,95
175.050,14421,-7984,26,95
175.553,14421,-7990,26,95
176.040,14414,-7993,26,95
176.538,14418,-7965,26,95
177.037,14418,-7978,26,95
177.537,14421,-7978,26,95
178.074,14418,-7965,26,95
178.564,14418,-7940,26,95
179.083,14414,-7956,26,95
179.550,14418,-8009,26,95
180.140,14414,-7975,26,95
180.560,14414,-7946,26,95
181.075,14410,-7987,26,95
181.566,14414,-7987,26,95
182.033,14414,-7937,26,95
182.574,14421,-7993,26,95
183.053,14414,-7978,26,95
183.534,14414,-7984,26,95
184.073,14414,-7959,26,95
184.578,14414,-7950,26,95
185.034,14418,-7971,26,95
185.553,14418,-7968,26,95
186.069,14418,-7987,26,95
186.602,14414,-7978,26,95
187.044,14414,-7931,26,95
187.535,14414,-7934,26,95
188.053,14410,-7959,26,95
188.605,14410,-7937,26,95
189.057,14414,-7953,26,95
189.605,14410,-7993,26,95
190.116,14414,-7984,26,95
190.601,14410,-8015,26,95
191.091,14414,-7996,26,95
191.580,14414,-7946,26,95
192.034,14410,-7993,26,95
192.585,14418,-7953,26,95
193.057,14410,-8009,26,95
193.542,14410,-7984,26,95
194.045,14410,-7934,26,95
194.596,14414,-7978,26,95
195.050,14410,-7959,26,95
195.575,14410,-7987,26,95
196.100,14414,-8009,26,95
196.561,14410,-7956,26,95
197.079,14414,-7937,26,95
197.551,14418,-7987,26,95
198.050,14410,-7965,26,95
198.581,14410,-7959,26,95
199.066,14410,-8028,26,95
199.577,14410,-8006,26,95
200.081,14410,-7987,26,95
200.582,14403,-7993,26,94
201.060,14410,-7968,26,95
201.578,14410,-7965,26,95
202.056,14414,-7990,26,95
202.559,14410,-7971,26,95
203.087,14407,-7950,26,95
203.563,14407,-7959,26,95
