Time(s),Voltage(V),Current(A),TEMP (C),Battery_%
194.937,12978,24937,23,34
195.384,12981,24953,23,13
195.869,12985,24959,23,34
196.522,12981,24925,23,13
196.983,12978,24975,23,34
197.379,12974,24934,23,13
197.919,12981,24925,23,34
198.465,12981,24950,23,13
198.871,12985,24959,23,34
199.388,12988,24912,23,13
199.923,12988,24918,23,34
200.463,12988,24968,23,13
200.992,12985,24959,23,34
201.390,12988,24946,23,13
201.845,12988,24934,23,34
202.367,12988,24953,23,13
202.979,12988,24928,23,34
203.416,12985,24896,23,13
203.973,12988,24940,23,34
204.488,12988,24946,23,13
204.862,12988,24946,23,34
205.451,12988,24953,23,13
205.860,12985,24934,23,34
206.393,12988,24937,23,13
207.024,12992,24915,23,34
207.419,12985,24934,23,13
207.909,12996,24975,23,34
208.346,12988,24934,23,13
208.873,12996,24931,23,34
209.396,12988,24971,23,13
209.864,12992,24940,23,34
210.463,12988,24956,23,13
210.878,12996,24915,23,34
211.457,12988,24918,23,13
211.879,12992,24906,23,34
212.422,12992,24959,23,13
212.878,12996,24893,23,34
213.360,12992,24918,23,13
213.971,12996,24928,23,34
214.417,12996,24928,23,13
214.843,12992,24918,23,34
215.376,12999,24934,23,13
215.907,12992,24953,23,34
216.471,12996,24975,23,13
216.856,12999,24968,23,34
217.401,12996,25009,23,12
217.974,15001,21,23,56
218.367,15001,15,23,20
218.862,14997,65533,23,39
219.346,15001,0,23,20
219.872,15001,65518,23,39
220.427,15004,65530,23,20
220.849,14997,65533,23,39
221.417,14997,65524,23,20
221.926,14997,65524,23,39
222.419,14997,65524,23,20
222.871,14997,65524,23,39
223.386,14997,65524,23,20
223.836,14997,65524,23,39
224.340,14997,65524,23,20
224.878,14997,65524,23,39
225.425,14997,65524,23,20
225.881,14997,65524,23,39
226.404,14997,65524,23,20
226.916,2181,65533,23,0
227.408,4161,18,23,0
227.877,6141,0,23,0
228.346,7660,65527,23,0
228.905,7660,65527,23,0
229.372,7660,65527,23,0
229.951,7660,65527,23,0
230.391,7660,65527,23,0
236.802,12639,9,26,35
237.323,12636,9,26,9
237.811,12636,65518,26,27
238.232,12636,65518,26,12
238.793,12632,65515,26,24
239.232,12636,65505,26,14
239.848,12632,0,26,23
240.281,12632,65515,26,15
240.772,12632,65515,26,22
241.272,12632,65515,26,16
241.731,12632,65515,26,21
242.284,12632,65515,26,17
242.758,12632,65515,26,20
